"District_C11ID","Area.Other.Kharif.Pulses","Prod.Other.Kharif.Pulses","Yield.Other.Kharif.Pulses","Area.Moong","Prod.Moong","Yield.Moong","Area.Moth","Prod.Moth","Yield.Moth","Area.Other.Rabi.Pulses","Prod.Other.Rabi.Pulses","Yield.Other.Rabi.Pulses","Area.Peas...Beans..Pulses.","Prod.Peas...Beans..Pulses.","Yield.Peas...Beans..Pulses.","Area.Urad","Prod.Urad","Yield.Urad","Area.Gram","Prod.Gram","Yield.Gram","Area.Masoor","Prod.Masoor","Yield.Masoor","Area.HorseGram","Prod.HorseGram","Yield.HorseGram","Area.Arhar..Tur.","Prod.Arhar..Tur.","Yield.Arhar..Tur.","areaTot","prodTot","yieldTot","diversity","dominant_pulses"
1,770,404,0.5225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770,404,0.524675324675325,1,"Area.Other.Kharif.Pulses"
2,81,41.75,0.5125,217.8,125,0.572,859,687,0.8,15,112,7.47,155.8,186.6,1.198,159,87.5,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487.6,1239.85,0.833456574347943,2.62927756635922,"Area.Moth"
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,10,0.29,188.6,92.8,0.49,NA,NA,NA,4772,2719,0.57,4.75,2,0.425,NA,NA,NA,NA,NA,NA,5007.35,2823.8,0.563931021398544,1.09926694275823,"Area.Gram"
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,50,0.39,595.6,460.6,0.776,NA,NA,NA,3909,1950,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4630.6,2460.6,0.531378223124433,1.3700465370662,"Area.Gram"
5,13.3333333333333,6.66666666666667,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,10.6,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1333333333333,17.2666666666667,0.52112676056338,1.92661201631711,"Area.Urad"
6,30,15.6666666666667,0.523333333333333,1,NA,NA,NA,NA,NA,2.33333333333333,1.33333333333333,0.666666666666667,6.8,4.8,0.694,451.4,221,0.488,10,6.25,0.6575,NA,NA,NA,13,7,0.54,NA,NA,NA,514.533333333333,256.05,0.497635397771443,1.29153987786993,"Area.Urad"
7,52.25,21.5,1.2725,10,5.66666666666667,0.576666666666667,3,2,0.67,149.666666666667,74.6666666666667,0.443333333333333,3.25,2.25,0.655,3911.4,1177.4,0.3,90.5,51,0.565,32.75,13.5,0.42,122,34,0.28,NA,NA,NA,4374.81666666667,1381.98333333333,0.315895142272629,1.24696794924533,"Area.Urad"
8,641,346,0.53,498.2,177.4,0.36,1431,718,0.5,76,53,0.7,147.333333333333,97,0.68,59,40,0.68,140,77,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,2992.53333333333,1508.4,0.504054535733381,3.24770631081763,"Area.Moth"
10,22.5,13,0.575,71,35,0.492,214,144,0.67,37.75,18,0.47,100,59.4,0.598,143.25,97.5,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.5,366.9,0.623449447748513,4.15820540258228,"Area.Moth"
12,961,313,0.33,164.2,66.6,0.406,NA,NA,NA,NA,NA,NA,266.6,186.4,0.698,108.2,58,0.536,NA,NA,NA,57,28.6666666666667,0.503333333333333,NA,NA,NA,NA,NA,NA,1557,652.666666666667,0.419182187968315,2.33884730057403,"Area.Other.Kharif.Pulses"
14,177.25,93.25,0.5275,695.8,359,0.52,695,363,0.52,NA,NA,NA,141,193.5,1.08,175.2,77.4,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1884.25,1086.15,0.57643624784397,3.38405083883395,"Area.Moong"
16,1033.33333333333,654,0.58,31,13,0.42,NA,NA,NA,5,2,0.4,189,112,0.592,1462,616.8,0.422,258,30,0.12,46.25,20.5,0.44,980,294,0.3,NA,NA,NA,4004.58333333333,1742.3,0.435076474872542,3.75475722807258,"Area.Urad"
19,146.25,102.5,0.5925,41.4,27.6,0.672,15,10,0.67,60.5,30.5,0.55,6.75,4.5,0.6,2031,1005,0.498,NA,NA,NA,10,5,0.5,213,99,0.46,NA,NA,NA,2523.9,1284.1,0.508776100479417,1.51760002239543,"Area.Urad"
21,318,113.25,0.4575,155.6,77.8,0.5,264,145,0.55,2,1,0.5,28.2,52.4,1.848,5108.6,2274,0.444,185.25,111,0.5975,9.5,5,0.54,616,166,0.27,NA,NA,NA,6687.15,2945.45,0.44046417382592,1.67436093199033,"Area.Urad"
23,542.428571428571,233.428571428571,0.395714285714286,63.375,24.375,0.40125,15,5,0.2875,18.5,6,0.325,138.333333333333,228.333333333333,1.26833333333333,2011.875,717.375,0.35875,2,1,0.5,20.125,7.125,0.42625,326,101.25,0.31375,45,16,0.36,3182.6369047619,1339.8869047619,0.420998984444989,2.26385774607316,"Area.Urad"
24,342.857142857143,119,0.337142857142857,37.25,9.75,0.3625,6,2,0.33,31.5,19.5,0.405,23.375,32.625,1.415,2539.75,1147.25,0.46125,314.625,221.375,0.70625,105.125,47.25,0.4875,248.375,107.375,0.4425,10.75,4.33333333333333,0.533333333333333,3659.60714285714,1710.45833333333,0.467388510996822,1.98625862044546,"Area.Urad"
25,41,50.2,1.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,1574.5,8679.75,5.50875,NA,NA,NA,NA,NA,NA,4,1,0.25,55,13.5,0.245,NA,NA,NA,1674.5,8744.45,5.22212600776351,1.12890795442295,"Area.Peas...Beans..Pulses."
26,845.833333333333,244.333333333333,0.298333333333333,75,27,0.3475,NA,NA,NA,77,43,0.56,485.5,521.5,1.04,1076.375,224,0.20875,84.125,37.5,0.42625,87.5,33.375,0.36125,110.75,33.125,0.2625,734,163.5,0.19,3576.08333333333,1327.33333333333,0.371169575653065,4.75928526214328,"Area.Urad"
27,649.125,260.125,0.36875,18.75,8.125,0.43875,1,NA,NA,45.75,16.25,0.4,2339.33333333333,3310.5,1.245,1574.125,1280,0.8025,35.375,25.5,0.7175,156.875,36.75,0.24375,304.625,172.625,0.55875,10,2.5,0.57,5134.95833333333,5112.375,0.995602041561519,3.10468110725964,"Area.Peas...Beans..Pulses."
28,1.33333333333333,0.666666666666667,0.5,4,2,0.5,NA,NA,NA,1,1,1,NA,NA,NA,55,17,0.35125,7.375,2.14285714285714,0.261428571428571,3.5,1.6,0.578,25.625,8.71428571428571,0.298571428571429,NA,NA,NA,97.8333333333333,33.1238095238095,0.33857386225359,2.54080465438242,"Area.Urad"
