district_id,district_name,state_id,state_name,merg_sq,ReportAreaLUS,FLTotal,NetAreaSown,TotalCroppedArea,propNIA,NIA30,NIA40,pnia_can,pnia_well,pnia_tanks,dom_irrtype,p_hyv_Irrigated,p_hyv_Rainfed,p_manure_Irrigated,p_manure_Rainfed,p_pest_Irrigated,p_pest_Rainfed,p_fert_Irrigated,p_fert_Rainfed,fert_kgperha_Irrigated,fert_kgperha_Rainfed,elev_mean,elev_cv,pTreeCover,precip_mean,precip_cv,GW_change,wealthPCA,Area.Maize,Prod.Maize,Yield.Maize,Area.Rice,Prod.Rice,Yield.Rice,Area.Small.millets,Prod.Small.millets,Yield.Small.millets,Area.Wheat,Prod.Wheat,Yield.Wheat,Area.Bajra,Prod.Bajra,Yield.Bajra,Area.Jowar,Prod.Jowar,Yield.Jowar,Area.Ragi,Prod.Ragi,Yield.Ragi,Area.mill,Prod.mill,Yield.mill,pArea_rice,pArea_wheat,pArea_maize,pArea_mill,pJowarInMillets,pBajraInMillets,pRagiInMillets,pSmallInMillets,type_millet,areaTotPulses,prodTotPulses,yieldTotPulses,diversityPulses,dominant_pulses,p_AreaPulses,pop_rural,sm_rum_perc,exofemcat_perc,indfemcat_perc,sm_rum_1000TGA,sm_rum_1000pop,female_exocattle_1000TGA,female_exocattle_1000pop,male_indicattle_1000TGA,male_indicattle_1000pop,sm_rum_1000NIA,female_exocattle_1000NIA,male_indicattle_1000NIA,percST,wealth_alpha,wealth_alpha_std,wealth_factr,wealth_factb,perc_elev500above,prec_normal1981_2007,prec_sd1981_2007,precbelow10,precbelow20,precbelow1sd,precbelow2sd,prec_outside10,prec_outside20,prec_outside1sd,prec_outside2sd,perc_lline,perc_bank,perc_tapwater,perc_electricity,perc_concreteRoof,perc_lpg,perc_waterClosetLatrine,perc_wasteWater_drainage,pulses_propTop3,pulses_propTop4,pulses_propTop5,pulses_propTop6
532,ADILABAD,28,ANDHRA PRADESH,1,1615440.5,234250.3,549967.3,589232.1,14.33763426,Rainfed,Rainfed,17.30983117,59.0554746,21.24757299,Ground Water,82.53156044,73.4376909,93.69700165,84.58220565,95.2093577,83.85191246,96.50176775,84.096084,150.6931935,176.5343562,229.7945142,0.530384829,9.24985572,933.85,0.208133727,-6,0.292279947,27046,92443.8,3.41,68216.2,152641.2,2.202,0,0,0,3643.222222,2919.111111,0.781111111,819,397.3333333,0.508888889,83137.2,84716.1,1.056,0,0,0,83956.2,85113.43333,1.013783775,11.57713573,0.618300025,4.590041853,14.24840907,99.02449134,0.975508658,0,0,J,91407.825,51861.55,0.567364446,3.516371529,ArharTur,15.51304231,1980980,41.9274142,0.561249595,99.4387504,604.8647412,493.2523297,1.652180938,1.347312946,0.854256161,0.696624903,12391.81356,33.84809321,17.50107479,18.08649301,26.45,-0.117579,-0.1432754,-0.0918993,0.7996063,912.6319737,198.9113172,10,4,3,0,19,19,6,1,2.099999905,49.79999924,31.29999924,83.59999847,12.89999962,16.5,11,4.400000095,83.65334149,95.423778,97.25130206,98.85991708
553,ANANTHAPUR,28,ANDHRA PRADESH,20,1913245.9,263662.1,1023984.2,1083269.3,12.07365309,Rainfed,Rainfed,17.94797961,76.58670105,4.231418489,Ground Water,47.86019021,2.560798417,56.77495334,75.20942381,81.13834326,16.36863475,98.13683228,88.27808965,157.7177584,53.67904034,397.1216229,0.318165793,2.156855933,467.25,0.214194888,2,-1.189046856,7961.1,37300.8,4.255,46129.7,129290.5,2.791,631.6,195.6,0.39,310,181.1666667,0.655,1485.5,1323.7,1.025,25464.4,23888,0.989,3828.7,7904.2,2.005,31410.2,33311.5,1.060531292,4.258377857,0.028617076,0.734914208,2.899574464,81.07048029,4.729355432,12.1893525,2.010811775,J,97130.68413,57125.26349,0.588127882,2.027925776,Gram,8.96643929,2935437,76.302495,20.17087024,79.82912976,2112.906658,1377.14078,42.00557806,27.37820638,5.482306273,3.573232878,32697.84676,650.0485714,84.8402885,3.776559929,38.125,0.4512139,0.58287,0.4204181,23.7674274,461.7840205,98.2625209,8,6,6,0,17,17,9,0,2.099999905,66.59999847,83.30000305,91.90000153,23.5,11.30000019,12.60000038,13.69999981,97.19966543,98.56437893,99.72364184,99.99073413
554,CHITTOOR,28,ANDHRA PRADESH,121,1506933.9,271769.8,372275,415302.8,40.13718353,Irrigated,Irrigated,0.960174862,83.12342266,15.83174219,Ground Water,90.33159635,55.06303309,70.48905087,43.93805959,69.07984316,22.35350718,91.58723984,38.74944958,144.180223,28.1976858,418.05113,0.502703643,7.087831977,764.05,0.210109206,3,-2.091541216,1233.5,5248.9,4.233,59376.1,158922.2,2.667,1283.5,412.4,0.302,3.5,3,0.6,2410,3082.1,1.276,1910,1678.1,0.886,10279.7,10566.9,1.02,15883.2,15739.5,0.990952705,14.29706229,0.000842759,0.297012204,3.824486616,12.02528458,15.17326483,64.72058527,8.080865317,R,17191.5,6198.555556,0.36055932,2.95709937,HorseGram,4.139509775,2942678,56.91452732,76.66162395,23.33837605,1059.060387,542.3406842,426.7360367,218.5298561,59.66817788,30.55584063,10680.80929,4303.707585,601.7640126,3.813190215,43.225,0.7885858,1.025272,0.8141352,61.9254456,734.0303483,151.2789641,8,4,4,0,17,17,6,1,3.200000048,65,84.19999695,90.30000305,58.09999847,17.20000076,15.80000019,12,93.80914987,97.11427159,99.82685242,99.94997528
551,CUDDAPAH,28,ANDHRA PRADESH,126,1536868.9,167606,381625.8,461264.9,36.9633028,Irrigated,Rainfed,14.88421717,79.15710523,5.070270768,Ground Water,87.74188747,69.78036546,49.21764181,29.45761493,81.89762359,38.65197351,98.5000788,91.84115996,155.9486367,75.807403,198.8640586,0.751302487,8.005837765,625.4,0.192807088,-12,-2.179443689,585.5714286,3746.857143,4.788571429,57226.8,145585.1,2.532,76.4,54.4,0.692,70.16666667,60.8,0.766,4642.7,7194.7,1.656,9110.2,8617.4,0.933,625.6666667,858,1.526666667,14454.96667,16724.5,1.157007165,12.40649354,0.015211794,0.126949054,3.13376688,63.02470431,32.11837223,4.328385399,0.528538057,J,71275.56944,53617.33333,0.752254016,1.670393907,Gram,15.45219882,1903337,70.87945441,23.44509566,76.55490434,1031.004011,832.4947185,12.20728717,9.856898699,4.00879997,3.236946479,11232.81689,132.9987275,43.6759853,2.632673586,43.2125,0.8044975,1.068362,0.8798165,80.0526962,597.8629144,115.4721013,9,4,4,0,19,19,7,1,2.299999952,61,83.30000305,94.5,53.70000076,17.70000076,14.89999962,18.29999924,97.73952077,98.56635854,99.27222609,99.92339591
545,EAST GODAVARI,28,ANDHRA PRADESH,170,1080632.2,78581.7,410555.4,718835.9,65.81706147,Irrigated,Irrigated,64.98868496,21.89678238,9.012362355,Canal,94.60604072,43.24767316,30.4547463,19.86539617,92.17766087,58.20508902,98.39046839,37.46640175,262.7404155,41.49908824,291.6944398,0.836241734,28.84477193,941.1875,0.183925563,-9,-1.586960008,7598.8,48035.2,6.219,380382.5,1352809.5,3.553,824,471.7142857,0.547142857,0,0,0,1534.2,1205.8,0.793,801.9,771.5,1.005,607,625.1111111,1.043333333,3767.1,3074.125397,0.816045605,52.9164584,0,1.057098011,0.524055629,21.28693159,40.72628813,16.11319052,21.87358976,B,108974.075,27915.65,0.256167809,2.097637183,Moong,15.15979864,3840324,26.29788746,38.7582494,61.2417506,308.1501736,86.71065254,67.55304904,19.0088128,13.35051834,3.756714277,1232.338633,270.1547469,53.39071963,4.136258376,36.9875,0.5128373,0.7779267,0.8468716,0,952.3469772,168.3558233,8,2,4,0,14,14,8,1,4.5,35,58.29999924,90.5,33.79999924,23.89999962,42.79999924,7.099999905,98.4300165,99.26553632,99.71120807,99.99235292
548,GUNTUR,28,ANDHRA PRADESH,213,1135281.7,81651,604651.3,805521.9,57.37323313,Irrigated,Irrigated,77.53052683,16.78534366,1.319542934,Canal,99.25891942,88.15116305,64.04041193,13.54790918,98.73336912,89.7656146,98.86026648,62.56076042,364.8042169,177.485129,73.13075135,0.952770898,10.39745816,713.375,0.207951265,9,-2.375422997,37123.5,307424.8,7.242,284722.8,937573.1,3.274,44.5,41,0.77,0,0,0,3363.142857,3622.428571,1.041428571,6090.4,17544.9,3.545,20.5,37.5,1.8075,9518.542857,21245.82857,2.232046322,35.34637606,0,4.608627028,1.181661586,63.98458347,35.33253889,0.215369099,0.467508532,J,166250.8,117071.8667,0.704188291,2.098940163,Urad,20.63889262,3235075,44.60297076,7.968855138,92.03114486,878.9527745,308.4500359,3.651076204,1.281268595,0.575187638,0.201850034,2876.43698,11.94841284,1.882343446,5.055205672,40.9125,0.7960474,1.164431,1.309109,0,689.2459768,125.1462864,11,3,3,1,22,22,8,1,5,46.5,48,90.19999695,49.79999924,40.5,41.40000153,5.900000095,94.50486855,99.92240639,99.98135347,100
536,HYDERABAD,28,ANDHRA PRADESH,233,21917,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.2585321,0.056234616,3.916208791,630,0.203395113,NA,NA,0,0,0,16,46,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,800,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,1.241009169,NA,NA,NA,NA,5.8740182,693.2564103,125.0509605,11,3,4,0,21,21,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,KARIMNAGAR,28,ANDHRA PRADESH,289,1185399.5,264487,416819.2,613626.2,69.9202436,Irrigated,Irrigated,17.53109549,73.02301323,9.093298472,Ground Water,98.22377855,84.60479406,54.98118867,25.04824717,95.08558393,70.13244675,99.30833449,84.11300359,215.9256747,173.9072091,197.1011974,0.485666152,8.880436243,842.9333333,0.214399218,-5,-1.110362592,130428.4,527530.9,3.968,234952,760236.5,3.148,0,0,0,84,56.33333333,0.791666667,379.8571429,179.4285714,0.495714286,1683.375,1491,0.89,0,0,0,2063.232143,1670.428571,0.809617365,38.28910826,0.013689116,21.25535057,0.336235992,81.58921941,18.41078059,0,0,J,38982.95873,17228.75079,0.441955956,2.835750071,Moong,6.352883682,2825044,64.36171985,12.55748694,87.44251306,1776.257709,745.3246746,16.30842598,6.843079258,3.958159253,1.660859088,7224.704143,66.33246523,16.09931341,2.826731888,36.325,0.3671565,0.544299,0.5934311,0.252515,804.45596,183.4059117,9,6,5,0,16,16,10,1,2.200000048,48.70000076,66.90000153,93.40000153,25,24.60000038,21.5,8.300000191,85.1546447,91.93892781,95.09614783,98.20006821
541,KHAMMAM,28,ANDHRA PRADESH,301,1591918,114570,432838.5,479663.8,41.27645762,Irrigated,Irrigated,25.44357899,40.30602193,23.53895995,Ground Water,94.42013087,68.64904445,45.37668535,37.72395101,96.71363306,66.36199372,98.04885171,70.90768009,208.5200782,132.737175,108.1860586,0.9515747,15.2635075,955.4285714,0.189620249,9,-1.139033227,27193.7,119657.1,4.152,158236,439319.6,2.745,19.5,9,0.41,0,0,0,259.875,195.375,0.5625,8037.6,6760.3,0.87,12.57142857,17,1.392857143,8329.546429,6981.675,0.838181894,32.98893934,0,5.669325056,1.736538473,96.49505011,3.11991778,0.150925728,0.234106385,J,62620.35238,33057.41587,0.527902106,2.813383864,Moong,13.05505072,2141459,41.98237522,0.57109819,99.42890181,674.7476943,501.5940067,1.42092746,1.056289193,0.904569205,0.672438744,6012.205279,12.66089184,8.059984193,27.36731287,36.4875,0.3902605,0.5583534,0.5458891,0,925.2623443,172.257228,8,5,5,0,16,16,10,0,2.400000095,42.09999847,57.70000076,87.40000153,47.70000076,18.89999962,31.70000076,4,92.85990543,99.00434014,99.40836214,99.76479578
547,KRISHNA,28,ANDHRA PRADESH,325,872455.7,67959.4,458303.3,697221.9,65.9549473,Irrigated,Irrigated,71.35248617,17.07862775,7.041002906,Canal,98.46126583,79.60192142,29.89868641,7.86712792,95.83951734,62.14397895,99.61415853,37.36151789,280.0743691,94.54914612,39.53825599,1.072560922,15.35525777,854.2,0.208672267,9,-2.873396775,14430.5,89102.5,5.631,326088.6,1041872,3.161,0,0,0,0,0,0,1.333333333,1.666666667,1.333333333,930.1111111,1989.333333,1.975555556,5,9,1.8,936.4444444,2000,2.135738016,46.7697013,0,2.069714104,0.134310819,99.32368296,0.142382534,0.533934504,0,J,147962.1806,120985.875,0.817681076,1.478489238,Urad,21.22167714,2673738,39.44847425,13.27760325,86.72239675,722.7083278,235.8237793,8.5746474,2.797955521,2.121597693,0.692289222,2085.960505,24.74909329,6.123589317,2.932307492,44.4125,0.9798742,1.408537,1.483874,0,835.9349822,150.4455041,9,3,4,1,19,19,12,1,6.699999809,50.5,65.80000305,93,45.09999847,35.70000076,53.20000076,5.300000191,99.10302717,99.42464652,99.7338847,99.99678972
