district_id,district_name,state_id,state_name,merg_sq,ReportAreaLUS,FLTotal,NetAreaSown,TotalCroppedArea,propNIA,NIA30,NIA40,pnia_can,pnia_well,pnia_tanks,dom_irrtype,p_hyv_Irrigated,p_hyv_Rainfed,p_manure_Irrigated,p_manure_Rainfed,p_pest_Irrigated,p_pest_Rainfed,p_fert_Irrigated,p_fert_Rainfed,fert_kgperha_Irrigated,fert_kgperha_Rainfed,elev_mean,elev_cv,pTreeCover,precip_mean,precip_cv,GW_change,wealthPCA,Area.Maize,Prod.Maize,Yield.Maize,Area.Rice,Prod.Rice,Yield.Rice,Area.Small.millets,Prod.Small.millets,Yield.Small.millets,Area.Wheat,Prod.Wheat,Yield.Wheat,Area.Bajra,Prod.Bajra,Yield.Bajra,Area.Jowar,Prod.Jowar,Yield.Jowar,Area.Ragi,Prod.Ragi,Yield.Ragi,Area.mill,Prod.mill,Yield.mill,pArea_rice,pArea_wheat,pArea_maize,pArea_mill,pJowarInMillets,pBajraInMillets,pRagiInMillets,pSmallInMillets,type_millet,areaTotPulses,prodTotPulses,yieldTotPulses,diversityPulses,dominant_pulses,p_AreaPulses,pop_rural,sm_rum_perc,exofemcat_perc,indfemcat_perc,sm_rum_1000TGA,sm_rum_1000pop,female_exocattle_1000TGA,female_exocattle_1000pop,male_indicattle_1000TGA,male_indicattle_1000pop,sm_rum_1000NIA,female_exocattle_1000NIA,male_indicattle_1000NIA,percST,wealth_alpha,wealth_alpha_std,wealth_factr,wealth_factb,perc_elev500above,prec_normal1981_2007,prec_sd1981_2007,precbelow10,precbelow20,precbelow1sd,precbelow2sd,prec_outside10,prec_outside20,prec_outside1sd,prec_outside2sd,perc_lline,perc_bank,perc_tapwater,perc_electricity,perc_concreteRoof,perc_lpg,perc_waterClosetLatrine,perc_wasteWater_drainage,pulses_propTop3,pulses_propTop4,pulses_propTop5,pulses_propTop6
324,BAKSA,18,ASSAM,38,196108,3,66085,135157.3333,22.26375123,Rainfed,Rainfed,94.15482906,0.020390131,0.027186842,Canal,11.30604288,0.506441941,45.18085337,25.76168868,33.61490145,14.91674094,82.82434481,32.12259947,99.44336149,42.99398347,47.35787356,2.713683147,21.58571176,2222.666667,0.141169538,NA,2.23324665,201.5,151.3333333,0.75,93846.66667,137187,1.456666667,269,123,0.46,2060,2351.666667,1.158333333,0,0,0,0,0,0,0,0,0,269,123,0.457249071,69.43512746,1.524149633,0.14908551,0.199027306,0,0,0,100,SM,7064.333333,3882.966667,0.549657906,4.422234978,OtherRabiPulses,5.226748086,937833,33.66831702,2.0003855,97.9996145,873.488078,182.6529883,16.93454627,3.541142186,19.26489485,4.028435766,11642.62897,225.7187521,256.7797186,34.84009157,10.45,-0.8170307,-1.094736,-0.9821967,0,2316.430843,277.044042,6,1,1,1,9,9,4,2,2,33.29999924,2.700000048,22.70000076,0.200000003,5.599999905,16.29999924,0.800000012,76.39550795,91.71896381,95.90053319,98.9751333
303,BARPETA,18,ASSAM,59,310501.4,7809.9,174253.4,247233.1,5.145093295,Rainfed,Rainfed,45.32485639,1.481233618,0.901232502,Canal,0,0.001391295,14.30400372,16.83188291,51.38500931,33.03142239,61.62709497,45.7527252,95.00523743,125.9836105,4.985107505,0.995777407,15.77727092,1644,0.150092214,16,2.201683309,77.2,50,0.643,154750.3636,192682.1818,1.23,1237.555556,620.2222222,0.502222222,8435.181818,9108.181818,1.082727273,0,0,0,0,0,0,0,0,0,1237.555556,620.2222222,0.501167175,62.59289862,3.411833536,0.031225592,0.500562245,0,0,0,100,SM,15229.2,9532.155556,0.625913085,4.329349668,OtherRabiPulses,6.159854809,1546269,36.12829518,8.760443922,91.23955608,824.9431404,165.6542296,73.64862123,14.7891473,24.4765402,4.915056824,28570.18571,2550.666444,847.6939379,1.614527917,10.7,-0.8178173,-1.079264,-0.9069718,0,1996.475533,244.0552522,8,1,5,0,12,12,8,2,1.100000024,33.40000153,1,19.39999962,0.100000001,9.899999619,20.10000038,0.600000024,79.1225628,91.38650312,96.94599848,98.86927744
319,BONGAIGAON,18,ASSAM,92,220381.3,10792.6,85769.8,153866.7,0.544480691,Rainfed,Rainfed,61.7130621,13.79014989,3.254817987,Canal,46.49340343,4.38027136,24.24362662,14.78914558,57.00823331,14.27026036,92.33210991,26.3513018,90.04364646,30.79941327,28.58296337,1.643744638,20.55357657,2153,0.152149037,-13,1.866575418,263.3,160,0.608,82870.18182,95226.54545,1.158181818,711.2222222,371.6666667,0.514444444,5474.181818,6794.636364,1.239090909,0,0,0,0,0,0,0,0,0,711.2222222,371.6666667,0.522574598,53.85842539,3.557743045,0.171122147,0.462232713,0,0,0,100,SM,6511.188889,3707.333333,0.569378864,3.712210259,Urad,4.231707633,628994,35.32965368,1.583206962,98.41679304,550.1056578,192.7411072,8.716710538,3.054083187,4.265334672,1.494449868,259599.5717,4113.490364,2012.847966,2.549390637,13.325,-0.6611743,-0.9149941,-0.8286613,0,2234.718845,318.4231431,7,0,1,0,11,11,5,1,1.899999976,54.29999924,1.5,23.5,0.200000003,9.399999619,15.19999981,0.600000024,87.93017831,93.13506494,96.83467945,99.49318012
316,CACHAR,18,ASSAM,98,377610,12915.1,115392.9,157797.2,2.365396831,Rainfed,Rainfed,64.06545765,0,0.122122489,Canal,0,24.0352958,0,67.62745138,0,18.08551972,0,43.06149159,0,59.77454449,188.792662,1.294719757,38.7889093,2430.833333,0.142337206,2,1.489770918,87.7,43.6,0.499,105546.9091,203332.7273,1.917272727,27.5,12.375,0.4475,99.18181818,114.3636364,1.14,0,0,0,0,0,0,0,0,0,27.5,12.375,0.45,66.88769452,0.062853979,0.055577666,0.017427432,0,0,0,100,SM,4082.9,2058.922222,0.504279366,2.228939386,OtherRabiPulses,2.587435012,1421153,28.72475843,6.500010086,93.49998991,442.8219592,117.6608008,34.13310029,9.069396469,13.51394296,3.590746387,61261.76955,4722.110277,1869.573182,1.011679605,16.3125,-0.5581861,-0.7302848,-0.6367934,0,2479.091704,324.4714141,6,2,4,0,10,10,8,1,1.899999976,35,29.39999962,28.5,1.200000048,7.5,23.89999962,3.099999905,94.57901655,97.48871309,98.71578208,99.45871807
320,CHIRANG,18,ASSAM,117,109985,121,46767,88775.33333,14.24294909,Rainfed,Rainfed,100,0,0,Canal,15.06051785,9.118812562,15.97977631,17.28932359,65.9874368,6.878621985,82.70261989,23.53803514,244.8245748,26.48990998,83.0601872,1.835627093,29.80050141,2591.5,0.145990565,NA,2.280254928,384.5,234,0.61,50705.16667,60122.66667,1.186666667,198.25,96.25,0.485,1537.5,2050.666667,1.366666667,0,0,0,0,0,0,0,0,0,198.25,96.25,0.485498108,57.11627855,1.731900002,0.433115805,0.223316537,0,0,0,100,SM,4195.9,2278.6,0.543053934,4.018333273,OtherRabiPulses,4.726425509,446825,16.68494876,1.836309836,98.16369016,532.4453335,131.0602585,25.50347775,6.277625469,8.737555121,2.150730152,8791.622879,421.1079418,144.2726317,37.05974341,10,-0.8282387,-1.117779,-1.015109,0,2611.96137,385.653428,7,0,1,0,12,12,5,2,2.099999905,34.79999924,2.900000095,19.5,0.5,5.599999905,13.60000038,1,83.1962948,91.33916442,95.57663433,98.66536381
325,DARRANG,18,ASSAM,137,297882.1,20519.4,171119.3,236063.1,8.38304037,Rainfed,Rainfed,47.27500871,0.683164866,0.195189962,Canal,9.606587374,3.403685466,71.84354986,38.92477018,38.70082342,10.12596426,70.81427264,19.24337746,183.2044831,21.94386709,27.3039504,1.393376779,15.29150648,1361,0.132818446,-9,2.343942967,723.9,438.6,0.604,117233.1818,166313.1818,1.495454545,180.25,117.75,0.65375,3589.181818,4053.090909,1.170909091,0,0,0,0,0,0,0,0,0,180.25,117.75,0.653259362,49.66179882,1.520433231,0.306655297,0.076356703,0,0,0,100,SM,9299.622222,5303.955556,0.57034097,3.947475175,OtherRabiPulses,3.939464585,873006,39.33011008,3.511338698,96.4886613,657.0384726,224.190899,19.81992204,6.762840118,8.389225133,2.862523282,13643.77832,411.5719763,174.2070408,0.906731287,10.125,-0.856234,-1.148999,-1.025389,0,1537.456039,194.6540955,6,1,4,1,10,10,6,2,1.200000048,34.5,2.200000048,20.10000038,0.200000003,5.800000191,16.29999924,0.699999988,80.27171952,89.36026075,95.48476282,98.76554125
308,DHEMAJI,18,ASSAM,152,323700,12382.4,64005.6,109832.7,6.269373305,Rainfed,Rainfed,2.601707059,20.52457791,17.02573048,NA,0,11.77432999,0,0.017662425,0,0.066931293,0,0,0,0,77.21695554,1.129576573,20.51557755,2344.666667,0.13125929,-2,2.283444719,406.9,363,0.878,74272.81818,87879.72727,1.183636364,30.33333333,20.22222222,0.668888889,863.0909091,755,0.840909091,0,0,0,0,0,0,0,0,0,30.33333333,20.22222222,0.666666667,67.62359314,0.785823265,0.370472546,0.027617762,0,0,0,100,SM,1997.566667,1084.888889,0.543105222,3.860775034,Urad,1.818735829,637848,20.95442206,0.048844617,99.95115538,362.459067,183.9435101,0.290392339,0.147370533,0.080321285,0.040762062,29238.80132,23.42533176,6.479347081,47.44852674,9.825,-0.84053,-1.119343,-0.9690161,0,2522.287943,298.7737232,8,0,8,0,14,14,14,0,1.600000024,32.70000076,1.899999976,17.10000038,0.300000012,9,14.89999962,1.100000024,82.31014401,93.44368982,97.98254543,99.56447011
301,DHUBRI,18,ASSAM,155,275208.2,16530.2,139913.6,183931.6,1.047074766,Rainfed,Rainfed,31.16723549,12.34129693,1.720136519,Canal,62.49506514,14.16676165,5.731017239,15.07351544,80.83300434,37.5954561,97.88130017,42.0747692,298.941966,39.24451959,12.26807425,1.93618657,13.30139869,2017,0.168451898,-5,2.944654657,181.3,108.5,0.597,107793.5455,178529.2727,1.677272727,3398.777778,1884.444444,0.552222222,8768,10337.81818,1.165454545,0,0,0,0,0,0,0,0,0,3398.777778,1884.444444,0.554447677,58.60523448,4.766989468,0.098569251,1.847848753,0,0,0,100,SM,10152.27778,6098.2,0.600673084,3.001297025,Urad,5.51959412,1745557,34.92790872,1.698443192,98.30155681,966.849825,152.4355836,15.77351256,2.486885275,7.365332864,1.161233921,181627.9863,2963.139932,1383.617747,0.324841555,5.95,-1.082603,-1.443468,-1.299847,0,2142.157549,365.022684,7,1,1,0,12,12,4,1,0.699999988,19.29999924,1.200000048,11.5,0.200000003,2.400000095,11.80000019,0.5,88.94522849,93.32749629,96.05693304,98.43275455
310,DIBRUGARH,18,ASSAM,158,338782,5629.4,137144.6,164658.5,1.012799629,Rainfed,Rainfed,10.52555796,17.59539237,0,NA,0,0.096763789,0,1.207397054,0,62.61907322,0,76.65412321,0,65.24857542,59.81142395,0.435054142,22.06750798,2241.6,0.11926645,-8,1.161540702,264,145,0.558888889,78027.54545,136276.5455,1.749090909,30.66666667,14.55555556,0.471111111,433.6363636,510.4545455,1.081818182,0,0,0,0,0,0,0,0,0,30.66666667,14.55555556,0.474637681,47.38749925,0.263354982,0.160331838,0.018624405,0,0,0,100,SM,2657.611111,1226.8,0.461617576,3.923702844,PeasBeansPulses,1.61401392,1082605,30.9815485,2.969103025,97.03089698,644.1605516,201.5785998,18.38645501,5.75371442,7.937257587,2.48382374,157113.031,4484.521238,1935.925126,7.756034486,17.4625,-0.445547,-0.5693865,-0.4087901,0,2224.084945,249.3835667,7,0,6,0,13,13,12,0,2.099999905,46.20000076,4.5,39.79999924,1.700000048,15.80000019,26.79999924,2.799999952,86.23157807,90.85979472,95.00261304,97.86650501
302,GOALPARA,18,ASSAM,203,184262,1820.1,79491.9,115021.9,7.953011565,Rainfed,Rainfed,21.29389434,2.68269535,1.335020563,NA,12.12822208,0.606218784,18.34104428,44.20770408,49.30601454,24.70905057,88.49966953,14.12928713,87.09517515,38.25086306,24.48842704,1.925323758,19.89895406,2010,0.162157585,6,2.2137374,152.7,88.5,0.58,76027.09091,126971.7273,1.66,478.7777778,190.8888889,0.402222222,2993,4675.454545,1.552727273,0,0,0,0,0,0,0,0,0,478.7777778,190.8888889,0.398700395,66.09792649,2.602113163,0.132757327,0.416249234,0,0,0,100,SM,6606.233333,3531.033333,0.534500245,3.673701965,Urad,5.743456971,870121,33.31415113,2.451738305,97.5482617,644.0611738,136.3902262,15.0600775,3.189211615,5.584439548,1.182594145,18771.90762,438.9433724,162.7649478,22.96904431,11.4375,-0.8196144,-1.085173,-0.956514,0,2104.390961,271.4957445,6,0,3,0,10,10,7,1,1.299999952,30,1.600000024,35.59999847,0.200000003,5.599999905,16.39999962,0.800000012,85.73468492,91.25825609,95.43007362,98.33641964
